Station,Stn Type,Crime Group - Full,Number of Crimes
ACTON CENTRAL,Mainline Stn,Violence,1
ACTON CENTRAL,Mainline Stn,Theft of Passenger Property,1
ACTON CENTRAL,Mainline Stn,Theft of Passenger Property,1
ACTON CENTRAL,Mainline Stn,Pedal Cycle,4
ACTON CENTRAL,Mainline Stn,Public Order (Less Serious),1
ACTON CENTRAL,Mainline Stn,Fraud (Less Serious),1
ACTON MAINLINE,Mainline Stn,Graffiti,1
ACTON MAINLINE,Mainline Stn,Line of Route (Less Serious),1
ACTON MAINLINE,Mainline Stn,Theft Cable & Plant,1
ACTON MAINLINE,Mainline Stn,Other (Less Serious),1
ACTON MAINLINE,Mainline Stn,Violence,1
ACTON MAINLINE,Mainline Stn,Theft of Passenger Property,1
ACTON MAINLINE,Mainline Stn,Fraud (Less Serious),1
ACTON MAINLINE,Mainline Stn,Public Order (Serious),2
ACTON MAINLINE,Mainline Stn,Public Order (Less Serious),2
ACTON TOWN,TfL Stn,Criminal Damage,1
ACTON TOWN,TfL Stn,Line of Route (Less Serious),1
ACTON TOWN,TfL Stn,Public Order (Serious),1
ACTON TOWN,TfL Stn,Violence,1
ACTON TOWN,TfL Stn,Violence,1
ACTON TOWN,TfL Stn,Criminal Damage,1
ACTON TOWN,TfL Stn,Graffiti,1
ACTON TOWN,TfL Stn,Graffiti,1
ACTON TOWN,TfL Stn,Theft of Passenger Property,3
ACTON TOWN,TfL Stn,Theft of Passenger Property,3
ACTON TOWN,TfL Stn,Theft of Passenger Property,5
ACTON TOWN,TfL Stn,Public Order (Less Serious),2
ACTON TOWN,TfL Stn,Public Order (Less Serious),1
ACTON TOWN,TfL Stn,Public Order (Less Serious),1
ACTON TOWN,TfL Stn,Public Order (Less Serious),1
ACTON TOWN,TfL Stn,Fraud (Less Serious),1
ACTON TOWN,TfL Stn,Violence,2
ACTON TOWN,TfL Stn,Violence,2
ACTON TOWN,TfL Stn,Violence,2
ACTON TOWN,TfL Stn,Violence,7
ACTON TOWN,TfL Stn,Violence,3
ACTON TOWN,TfL Stn,Violence,2
ACTON TOWN,TfL Stn,Sex,1
ACTON TOWN,TfL Stn,Criminal Damage,1
ACTON TOWN,TfL Stn,Criminal Damage,1
ACTON TOWN,TfL Stn,Theft of Passenger Property,1
ACTON TOWN,TfL Stn,Theft of Passenger Property,1
ACTON TOWN,TfL Stn,Theft of Passenger Property,2
ACTON TOWN,TfL Stn,Burglary & Theft Railway,1
ACTON TOWN,TfL Stn,Public Order (Serious),2
ACTON TOWN,TfL Stn,Public Order (Serious),1
ACTON TOWN,TfL Stn,Public Order (Serious),1
ACTON TOWN,TfL Stn,Public Order (Less Serious),3
ACTON TOWN,TfL Stn,Public Order (Less Serious),1
ACTON TOWN,TfL Stn,Public Order (Less Serious),3
ACTON TOWN,TfL Stn,Fraud (Less Serious),1
ACTON TOWN,TfL Stn,Drugs,1
ACTON TOWN,TfL Stn,Other (Less Serious),1
ACTON TOWN,TfL Stn,Other (Less Serious),1
ACTON TOWN DEPOT,TfL Stn,Other (Less Serious),1
ACTON WORKS,TfL Stn,Criminal Damage,3
ACTON WORKS,TfL Stn,Criminal Damage,2
ACTON WORKS,TfL Stn,Graffiti,1
ADDINGTON VILLAGE,Croydon Tramlink,Violence,1
ADDINGTON VILLAGE,Croydon Tramlink,Line of Route (Serious),1
ADDINGTON VILLAGE,Croydon Tramlink,Theft of Passenger Property,1
ADDINGTON VILLAGE,Croydon Tramlink,Public Order (Less Serious),1
ADDINGTON VILLAGE,Croydon Tramlink,Fraud (Less Serious),1
ADDINGTON VILLAGE,Croydon Tramlink,Criminal Damage,1
ADDINGTON VILLAGE,Croydon Tramlink,Fraud (Less Serious),2
ADDISCOMBE,Croydon Tramlink,Violence,1
ADDISCOMBE,Croydon Tramlink,Fraud (Less Serious),2
ADDISCOMBE,Croydon Tramlink,Public Order (Serious),1
ADDISCOMBE,Croydon Tramlink,Public Order (Less Serious),1
ADDISCOMBE,Croydon Tramlink,Fraud (Less Serious),3
ADDISCOMBE,Croydon Tramlink,Drugs,2
ALBANY PARK,Mainline Stn,Violence,1
ALBANY PARK,Mainline Stn,Theft of Passenger Property,1
ALBANY PARK,Mainline Stn,Fraud (Less Serious),1
ALBANY PARK,Mainline Stn,Fraud (Less Serious),2
ALBANY PARK,Mainline Stn,Pedal Cycle,2
ALBANY PARK,Mainline Stn,Pedal Cycle,2
ALBANY PARK,Mainline Stn,Public Order (Less Serious),1
ALBANY PARK,Mainline Stn,Public Order (Less Serious),1
ALBANY PARK,Mainline Stn,Drugs,1
ALDGATE,TfL Stn,Violence,2
ALDGATE,TfL Stn,Graffiti,1
ALDGATE,TfL Stn,Violence,1
ALDGATE,TfL Stn,Sex,1
ALDGATE,TfL Stn,Theft of Passenger Property,4
ALDGATE,TfL Stn,Theft of Passenger Property,1
ALDGATE,TfL Stn,Other (Less Serious),1
ALDGATE,TfL Stn,Violence,1
ALDGATE,TfL Stn,Criminal Damage,1
ALDGATE,TfL Stn,Theft Cable & Plant,2
ALDGATE,TfL Stn,Public Order (Serious),1
ALDGATE,TfL Stn,Public Order (Less Serious),1
ALDGATE EAST,TfL Stn,Violence,2
ALDGATE EAST,TfL Stn,Sex,1
ALDGATE EAST,TfL Stn,Sex,1
ALDGATE EAST,TfL Stn,Line of Route (Serious),1
ALDGATE EAST,TfL Stn,Theft of Passenger Property,13
ALDGATE EAST,TfL Stn,Theft of Passenger Property,2
ALDGATE EAST,TfL Stn,Public Order (Serious),1
ALDGATE EAST,TfL Stn,Public Order (Less Serious),1
ALDGATE EAST,TfL Stn,Other (Serious),1
ALDGATE EAST,TfL Stn,Other (Less Serious),1
ALDGATE EAST,TfL Stn,Violence,2
ALDGATE EAST,TfL Stn,Violence,1
ALDGATE EAST,TfL Stn,Graffiti,1
ALDGATE EAST,TfL Stn,Theft of Passenger Property,2
ALDGATE EAST,TfL Stn,Theft of Passenger Property,1
ALDGATE EAST,TfL Stn,Public Order (Serious),2
ALDGATE EAST,TfL Stn,Public Order (Less Serious),3
ALDGATE EAST,TfL Stn,Public Order (Less Serious),1
ALDGATE EAST,TfL Stn,Public Order (Less Serious),1
ALDGATE EAST,TfL Stn,Fraud (Serious),1
ALDGATE EAST,TfL Stn,Fraud (Less Serious),3
ALDGATE EAST,TfL Stn,Fraud (Less Serious),3
ALDGATE EAST,TfL Stn,Other (Less Serious),2
ALEXANDRA PALACE,Mainline Stn,Sex,1
ALEXANDRA PALACE,Mainline Stn,Graffiti,1
ALEXANDRA PALACE,Mainline Stn,Line of Route (Less Serious),1
ALEXANDRA PALACE,Mainline Stn,Burglary & Theft Railway,1
ALEXANDRA PALACE,Mainline Stn,Theft Cable & Plant,1
ALEXANDRA PALACE,Mainline Stn,Theft Cable & Plant,1
ALEXANDRA PALACE,Mainline Stn,Other (Less Serious),1
ALEXANDRA PALACE,Mainline Stn,Violence,1
ALEXANDRA PALACE,Mainline Stn,Sex,1
ALEXANDRA PALACE,Mainline Stn,Theft of Passenger Property,2
ALEXANDRA PALACE,Mainline Stn,Fraud (Less Serious),1
ALEXANDRA PALACE,Mainline Stn,Other (Less Serious),1
ALEXANDRA PALACE,Mainline Stn,Theft of Passenger Property,3
ALEXANDRA PALACE,Mainline Stn,Pedal Cycle,3
ALEXANDRA PALACE,Mainline Stn,Public Order (Less Serious),2
ALL SAINTS,DLR Stn,Violence,1
ALL SAINTS,DLR Stn,Line of Route (Less Serious),4
ALL SAINTS,DLR Stn,Drugs,1
ALL SAINTS,DLR Stn,Violence,2
ALL SAINTS,DLR Stn,Theft of Passenger Property,1
ALL SAINTS,DLR Stn,Public Order (Serious),1
ALL SAINTS,DLR Stn,Public Order (Less Serious),1
ALL SAINTS,DLR Stn,Public Order (Less Serious),1
ALL SAINTS,DLR Stn,Fraud (Less Serious),1
ALL SAINTS,DLR Stn,Violence,1
ALL SAINTS,DLR Stn,Violence,3
ALL SAINTS,DLR Stn,Robbery,1
ALL SAINTS,DLR Stn,Burglary & Theft Railway,1
ALL SAINTS,DLR Stn,Public Order (Serious),1
ALL SAINTS,DLR Stn,Public Order (Less Serious),1
ALL SAINTS,DLR Stn,Public Order (Less Serious),1
ALL SAINTS,DLR Stn,Fraud (Less Serious),2
ALL SAINTS,DLR Stn,Drugs,3
ALL SAINTS,DLR Stn,Drugs,1
ALL SAINTS,DLR Stn,Other (Serious),1
ALPERTON,TfL Stn,Criminal Damage,1
ALPERTON,TfL Stn,Line of Route (Less Serious),1
ALPERTON,TfL Stn,Fraud (Less Serious),2
ALPERTON,TfL Stn,Other (Less Serious),1
ALPERTON,TfL Stn,Theft of Passenger Property,3
ALPERTON,TfL Stn,Fraud (Less Serious),1
ALPERTON,TfL Stn,Other (Less Serious),1
ALPERTON,TfL Stn,Violence,1
ALPERTON,TfL Stn,Violence,1
ALPERTON,TfL Stn,Violence,2
ALPERTON,TfL Stn,Criminal Damage,1
ALPERTON,TfL Stn,Line of Route (Less Serious),1
ALPERTON,TfL Stn,Motor Vehicle,1
ALPERTON,TfL Stn,Public Order (Serious),3
ALPERTON,TfL Stn,Public Order (Serious),1
ALPERTON,TfL Stn,Public Order (Less Serious),1
ALPERTON,TfL Stn,Public Order (Less Serious),3
ALPERTON,TfL Stn,Public Order (Less Serious),1
ALPERTON,TfL Stn,Fraud (Less Serious),3
ALPERTON,TfL Stn,Fraud (Less Serious),1
ALPERTON,TfL Stn,Drugs,1
AMPERE WAY,Croydon Tramlink,Graffiti,1
AMPERE WAY,Croydon Tramlink,Violence,1
AMPERE WAY,Croydon Tramlink,Public Order (Less Serious),1
AMPERE WAY,Croydon Tramlink,Fraud (Less Serious),2
AMPERE WAY,Croydon Tramlink,Violence,1
AMPERE WAY,Croydon Tramlink,Violence,1
AMPERE WAY,Croydon Tramlink,Violence,1
AMPERE WAY,Croydon Tramlink,Fraud (Less Serious),3
ANERLEY,Mainline Stn,Graffiti,1
ANERLEY,Mainline Stn,Line of Route (Less Serious),1
ANERLEY,Mainline Stn,Line of Route (Less Serious),2
ANERLEY,Mainline Stn,Theft of Passenger Property,1
ANERLEY,Mainline Stn,Theft of Passenger Property,1
ANERLEY,Mainline Stn,Public Order (Serious),1
ANERLEY,Mainline Stn,Fraud (Less Serious),1
ANERLEY,Mainline Stn,Violence,1
ANERLEY,Mainline Stn,Public Order (Serious),1
ANERLEY,Mainline Stn,Public Order (Less Serious),1
ANERLEY,Mainline Stn,Fraud (Less Serious),1
ANERLEY,Mainline Stn,Fraud (Less Serious),2
ANGEL,TfL Stn,Violence,1
ANGEL,TfL Stn,Theft of Passenger Property,1
ANGEL,TfL Stn,Violence,1
ANGEL,TfL Stn,Sex,2
ANGEL,TfL Stn,Sex,3
ANGEL,TfL Stn,Theft of Passenger Property,14
ANGEL,TfL Stn,Theft of Passenger Property,2
ANGEL,TfL Stn,Public Order (Less Serious),2
ANGEL,TfL Stn,Violence,3
ANGEL,TfL Stn,Violence,2
ANGEL,TfL Stn,Violence,1
ANGEL,TfL Stn,Sex,2
ANGEL,TfL Stn,Sex,1
ANGEL,TfL Stn,Theft of Passenger Property,1
ANGEL,TfL Stn,Theft of Passenger Property,1
ANGEL,TfL Stn,Public Order (Serious),2
ANGEL,TfL Stn,Public Order (Serious),3
ANGEL,TfL Stn,Public Order (Serious),1
ANGEL,TfL Stn,Public Order (Less Serious),4
ANGEL,TfL Stn,Public Order (Less Serious),1
ANGEL,TfL Stn,Public Order (Less Serious),3
ANGEL,TfL Stn,Fraud (Less Serious),3
ANGEL,TfL Stn,Fraud (Less Serious),10
ANGEL,TfL Stn,Drugs,3
ANGEL,TfL Stn,Drugs,1
ANGEL,TfL Stn,Other (Less Serious),2
ANGEL,TfL Stn,Other (Less Serious),1
ANGEL ROAD,Mainline Stn,Line of Route (Less Serious),1
ANGEL ROAD,Mainline Stn,Graffiti,1
ARCHWAY,TfL Stn,Other (Less Serious),1
ARCHWAY,TfL Stn,Sex,1
ARCHWAY,TfL Stn,Criminal Damage,1
ARCHWAY,TfL Stn,Theft of Passenger Property,7
ARCHWAY,TfL Stn,Theft of Passenger Property,1
ARCHWAY,TfL Stn,Theft of Passenger Property,1
ARCHWAY,TfL Stn,Public Order (Serious),1
ARCHWAY,TfL Stn,Public Order (Less Serious),1
ARCHWAY,TfL Stn,Public Order (Less Serious),4
ARCHWAY,TfL Stn,Public Order (Less Serious),1
ARCHWAY,TfL Stn,Fraud (Less Serious),1
ARCHWAY,TfL Stn,Violence,3
ARCHWAY,TfL Stn,Weapons,1
ARCHWAY,TfL Stn,Criminal Damage,1
ARCHWAY,TfL Stn,Theft of Passenger Property,1
ARCHWAY,TfL Stn,Burglary & Theft Railway,1
ARCHWAY,TfL Stn,Public Order (Serious),3
ARCHWAY,TfL Stn,Public Order (Less Serious),2
ARCHWAY,TfL Stn,Public Order (Less Serious),2
ARCHWAY,TfL Stn,Public Order (Less Serious),3
ARCHWAY,TfL Stn,Fraud (Less Serious),1
ARCHWAY,TfL Stn,Other (Less Serious),2
ARCHWAY,TfL Stn,Other (Less Serious),1
ARCHWAY,TfL Stn,Other (Less Serious),1
ARENA,Croydon Tramlink,Line of Route (Serious),1
ARENA,Croydon Tramlink,Robbery,1
ARENA,Croydon Tramlink,Line of Route (Serious),1
ARENA,Croydon Tramlink,Violence,1
ARENA,Croydon Tramlink,Criminal Damage,2
ARENA,Croydon Tramlink,Robbery,2
ARENA,Croydon Tramlink,Public Order (Serious),1
ARENA,Croydon Tramlink,Public Order (Less Serious),1
ARENA,Croydon Tramlink,Public Order (Less Serious),1
ARENA,Croydon Tramlink,Fraud (Less Serious),5
ARENA,Croydon Tramlink,Other (Less Serious),1
ARNOS GROVE,TfL Stn,Criminal Damage,1
ARNOS GROVE,TfL Stn,Graffiti,1
ARNOS GROVE,TfL Stn,Graffiti,1
ARNOS GROVE,TfL Stn,Line of Route (Less Serious),1
ARNOS GROVE,TfL Stn,Public Order (Less Serious),1
ARNOS GROVE,TfL Stn,Violence,1
ARNOS GROVE,TfL Stn,Violence,1
ARNOS GROVE,TfL Stn,Sex,1
ARNOS GROVE,TfL Stn,Criminal Damage,1
ARNOS GROVE,TfL Stn,Criminal Damage,1
ARNOS GROVE,TfL Stn,Graffiti,4
ARNOS GROVE,TfL Stn,Theft of Passenger Property,5
ARNOS GROVE,TfL Stn,Theft of Passenger Property,1
ARNOS GROVE,TfL Stn,Public Order (Serious),1
ARNOS GROVE,TfL Stn,Violence,2
ARNOS GROVE,TfL Stn,Violence,1
ARNOS GROVE,TfL Stn,Violence,1
ARNOS GROVE,TfL Stn,Sex,1
ARNOS GROVE,TfL Stn,Theft of Passenger Property,1
ARNOS GROVE,TfL Stn,Motor Vehicle,1
ARNOS GROVE,TfL Stn,Theft Cable & Plant,1
ARNOS GROVE,TfL Stn,Public Order (Serious),1
ARNOS GROVE,TfL Stn,Public Order (Less Serious),1
ARNOS GROVE,TfL Stn,Public Order (Less Serious),1
ARNOS GROVE,TfL Stn,Public Order (Less Serious),2
ARNOS GROVE,TfL Stn,Other (Less Serious),5
ARSENAL,TfL Stn,Theft of Passenger Property,2
ARSENAL,TfL Stn,Theft of Passenger Property,3
ARSENAL,TfL Stn,Theft of Passenger Property,2
ARSENAL,TfL Stn,Public Order (Less Serious),2
ARSENAL,TfL Stn,Fraud (Less Serious),1
ARSENAL,TfL Stn,Violence,1
ARSENAL,TfL Stn,Burglary & Theft Railway,1
ARSENAL,TfL Stn,Public Order (Serious),1
ARSENAL,TfL Stn,Other (Less Serious),1
ASHFORD,Mainline Stn,Criminal Damage,1
ASHFORD,Mainline Stn,Line of Route (Less Serious),2
ASHFORD,Mainline Stn,Theft Cable & Plant,1
ASHFORD,Mainline Stn,Public Order (Less Serious),1
ASHFORD,Mainline Stn,Sex,1
ASHFORD,Mainline Stn,Theft of Passenger Property,1
ASHFORD,Mainline Stn,Pedal Cycle,1
ASHFORD,Mainline Stn,Public Order (Serious),1
ASHFORD,Mainline Stn,Fraud (Less Serious),2
ASHFORD,Mainline Stn,Fraud (Less Serious),2
ASHFORD,Mainline Stn,Violence,2
ASHFORD,Mainline Stn,Violence,1
ASHFORD,Mainline Stn,Sex,1
ASHFORD,Mainline Stn,Pedal Cycle,4
ASHFORD,Mainline Stn,Public Order (Serious),1
ASHFORD,Mainline Stn,Public Order (Less Serious),5
ASHFORD,Mainline Stn,Public Order (Less Serious),2
ASHFORD,Mainline Stn,Fraud (Less Serious),5
ASHFORD,Mainline Stn,Fraud (Less Serious),5
ASHFORD,Mainline Stn,Drugs,1
ASHFORD,Mainline Stn,Drugs,2
ASHFORD,Mainline Stn,Other (Less Serious),1
AVENUE ROAD,Croydon Tramlink,Public Order (Serious),1
AVENUE ROAD,Croydon Tramlink,Fraud (Less Serious),2
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Violence,2
BAKER STREET,TfL Stn,Criminal Damage,1
BAKER STREET,TfL Stn,Graffiti,1
BAKER STREET,TfL Stn,Line of Route (Serious),1
BAKER STREET,TfL Stn,Line of Route (Less Serious),2
BAKER STREET,TfL Stn,Theft of Passenger Property,1
BAKER STREET,TfL Stn,Theft Cable & Plant,1
BAKER STREET,TfL Stn,Public Order (Serious),1
BAKER STREET,TfL Stn,Other (Less Serious),1
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Violence,5
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Violence,4
BAKER STREET,TfL Stn,Sex,1
BAKER STREET,TfL Stn,Sex,1
BAKER STREET,TfL Stn,Sex,1
BAKER STREET,TfL Stn,Theft of Passenger Property,31
BAKER STREET,TfL Stn,Theft of Passenger Property,2
BAKER STREET,TfL Stn,Theft of Passenger Property,8
BAKER STREET,TfL Stn,Robbery,1
BAKER STREET,TfL Stn,Public Order (Serious),1
BAKER STREET,TfL Stn,Public Order (Serious),2
BAKER STREET,TfL Stn,Public Order (Serious),3
BAKER STREET,TfL Stn,Public Order (Less Serious),7
BAKER STREET,TfL Stn,Public Order (Less Serious),1
BAKER STREET,TfL Stn,Fraud (Less Serious),1
BAKER STREET,TfL Stn,Other (Less Serious),3
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Violence,4
BAKER STREET,TfL Stn,Violence,17
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Violence,2
BAKER STREET,TfL Stn,Violence,1
BAKER STREET,TfL Stn,Weapons,3
BAKER STREET,TfL Stn,Sex,1
BAKER STREET,TfL Stn,Graffiti,1
BAKER STREET,TfL Stn,Graffiti,1
BAKER STREET,TfL Stn,Theft of Passenger Property,8
BAKER STREET,TfL Stn,Theft of Passenger Property,34
BAKER STREET,TfL Stn,Burglary & Theft Railway,1
BAKER STREET,TfL Stn,Burglary & Theft Railway,1
BAKER STREET,TfL Stn,Burglary & Theft Railway,10
BAKER STREET,TfL Stn,Burglary & Theft Railway,3
BAKER STREET,TfL Stn,Theft Cable & Plant,4
BAKER STREET,TfL Stn,Public Order (Serious),2
BAKER STREET,TfL Stn,Public Order (Serious),2
BAKER STREET,TfL Stn,Public Order (Serious),1
BAKER STREET,TfL Stn,Public Order (Less Serious),9
BAKER STREET,TfL Stn,Public Order (Less Serious),1
BAKER STREET,TfL Stn,Public Order (Less Serious),11
BAKER STREET,TfL Stn,Public Order (Less Serious),3
BAKER STREET,TfL Stn,Fraud (Serious),1
BAKER STREET,TfL Stn,Fraud (Less Serious),6
BAKER STREET,TfL Stn,Fraud (Less Serious),5
BAKER STREET,TfL Stn,Drugs,5
BAKER STREET,TfL Stn,Drugs,1
BAKER STREET,TfL Stn,Drugs,1
BAKER STREET,TfL Stn,Drugs,1
BAKER STREET,TfL Stn,Other (Less Serious),1
BALHAM,Mainline Stn,Violence,1
BALHAM,Mainline Stn,Violence,1
BALHAM,Mainline Stn,Graffiti,2
BALHAM,Mainline Stn,Line of Route (Serious),1
BALHAM,Mainline Stn,Line of Route (Less Serious),2
BALHAM,TfL Stn,Public Order (Less Serious),1
BALHAM,TfL Stn,Public Order (Less Serious),1
BALHAM,Mainline Stn,Violence,2
BALHAM,Mainline Stn,Violence,1
BALHAM,Mainline Stn,Sex,1
BALHAM,Mainline Stn,Theft of Passenger Property,2
BALHAM,Mainline Stn,Theft of Passenger Property,4
BALHAM,Mainline Stn,Robbery,1
BALHAM,Mainline Stn,Public Order (Serious),1
BALHAM,Mainline Stn,Public Order (Serious),1
BALHAM,Mainline Stn,Public Order (Less Serious),11
BALHAM,Mainline Stn,Fraud (Less Serious),2
BALHAM,Mainline Stn,Other (Less Serious),1
BALHAM,TfL Stn,Violence,1
BALHAM,TfL Stn,Violence,1
BALHAM,TfL Stn,Theft of Passenger Property,11
BALHAM,TfL Stn,Theft of Passenger Property,2
BALHAM,TfL Stn,Pedal Cycle,1
BALHAM,TfL Stn,Public Order (Serious),1
BALHAM,TfL Stn,Public Order (Less Serious),4
BALHAM,TfL Stn,Other (Less Serious),1
BALHAM,Mainline Stn,Violence,3
BALHAM,Mainline Stn,Violence,2
BALHAM,Mainline Stn,Weapons,1
BALHAM,Mainline Stn,Theft of Passenger Property,1
BALHAM,Mainline Stn,Theft of Passenger Property,1
BALHAM,Mainline Stn,Public Order (Serious),1
BALHAM,Mainline Stn,Public Order (Serious),1
BALHAM,Mainline Stn,Public Order (Less Serious),3
BALHAM,Mainline Stn,Public Order (Less Serious),1
BALHAM,Mainline Stn,Public Order (Less Serious),1
BALHAM,Mainline Stn,Fraud (Less Serious),7
BALHAM,Mainline Stn,Drugs,3
BALHAM,Mainline Stn,Drugs,1
BALHAM,TfL Stn,Violence,3
BALHAM,TfL Stn,Violence,1
BALHAM,TfL Stn,Violence,1
BALHAM,TfL Stn,Sex,1
BALHAM,TfL Stn,Theft of Passenger Property,2
BALHAM,TfL Stn,Public Order (Serious),1
BALHAM,TfL Stn,Public Order (Serious),1
BALHAM,TfL Stn,Public Order (Less Serious),2
BALHAM,TfL Stn,Public Order (Less Serious),2
BALHAM,TfL Stn,Fraud (Less Serious),4
BALHAM,TfL Stn,Fraud (Less Serious),2
BALHAM,TfL Stn,Other (Less Serious),1
BANK,DLR Stn,Line of Route (Less Serious),1
BANK,DLR Stn,Public Order (Less Serious),3
BANK,DLR Stn,Violence,1
BANK,DLR Stn,Violence,1
BANK,DLR Stn,Violence,1
BANK,DLR Stn,Theft of Passenger Property,5
BANK,DLR Stn,Theft of Passenger Property,4
BANK,DLR Stn,Public Order (Less Serious),1
BANK,DLR Stn,Public Order (Less Serious),2
BANK,DLR Stn,Violence,1
BANK,DLR Stn,Theft of Passenger Property,1
BANK,DLR Stn,Public Order (Serious),1
BANK,DLR Stn,Public Order (Serious),1
BANK,DLR Stn,Public Order (Less Serious),1
BANK,DLR Stn,Public Order (Less Serious),1
BANK,DLR Stn,Public Order (Less Serious),1
BANK MONUMENT COMPLEX,TfL Stn,Line of Route (Less Serious),2
BANK MONUMENT COMPLEX,TfL Stn,Theft of Passenger Property,1
BANK MONUMENT COMPLEX,TfL Stn,Theft of Passenger Property,1
BANK MONUMENT COMPLEX,TfL Stn,Public Order (Serious),1
BANK MONUMENT COMPLEX,TfL Stn,Other (Less Serious),2
BANK MONUMENT COMPLEX,TfL Stn,Violence,1
BANK MONUMENT COMPLEX,TfL Stn,Violence,9
BANK MONUMENT COMPLEX,TfL Stn,Violence,1
BANK MONUMENT COMPLEX,TfL Stn,Violence,1
BANK MONUMENT COMPLEX,TfL Stn,Violence,1
BANK MONUMENT COMPLEX,TfL Stn,Violence,1
BANK MONUMENT COMPLEX,TfL Stn,Sex,1
BANK MONUMENT COMPLEX,TfL Stn,Sex,3
BANK MONUMENT COMPLEX,TfL Stn,Sex,11
BANK MONUMENT COMPLEX,TfL Stn,Theft of Passenger Property,63
BANK MONUMENT COMPLEX,TfL Stn,Theft of Passenger Property,15
BANK MONUMENT COMPLEX,TfL Stn,Public Order (Serious),1
BANK MONUMENT COMPLEX,TfL Stn,Public Order (Serious),1
BANK MONUMENT COMPLEX,TfL Stn,Public Order (Less Serious),3
BANK MONUMENT COMPLEX,TfL Stn,Public Order (Less Serious),1
BANK MONUMENT COMPLEX,TfL Stn,Fraud (Less Serious),1
BANK MONUMENT COMPLEX,TfL Stn,Other (Less Serious),3
BANK MONUMENT COMPLEX,TfL Stn,Violence,5
BANK MONUMENT COMPLEX,TfL Stn,Violence,13
BANK MONUMENT COMPLEX,TfL Stn,Violence,1
BANK MONUMENT COMPLEX,TfL Stn,Sex,2
BANK MONUMENT COMPLEX,TfL Stn,Sex,4
BANK MONUMENT COMPLEX,TfL Stn,Sex,1
BANK MONUMENT COMPLEX,TfL Stn,Criminal Damage,1
BANK MONUMENT COMPLEX,TfL Stn,Theft of Passenger Property,11
BANK MONUMENT COMPLEX,TfL Stn,Theft of Passenger Property,4
BANK MONUMENT COMPLEX,TfL Stn,Public Order (Serious),3
BANK MONUMENT COMPLEX,TfL Stn,Public Order (Serious),2
